Week of,Henry Hub Natural Gas Spot Price Dollars per Million Btu
7/19/19,2.44
7/12/19,2.47
7/5/19,2.31
6/28/19,2.34
6/21/19,2.4
6/14/19,2.41
6/7/19,2.45
5/31/19,2.66
5/24/19,2.66
5/17/19,2.67
5/10/19,2.6
5/3/19,2.59
4/26/19,2.56
4/19/19,2.62
4/12/19,2.72
4/5/19,2.7
3/29/19,2.71
3/22/19,2.86
3/15/19,2.89
3/8/19,3.28
3/1/19,2.91
2/22/19,2.71
2/15/19,2.65
2/8/19,2.59
2/1/19,2.9
1/25/19,3.19
1/18/19,3.5
1/11/19,2.89
1/4/19,2.92
12/28/18,3.26
12/21/18,3.73
12/14/18,4.38
12/7/18,4.49
11/30/18,4.43
11/23/18,4.67
11/16/18,4.23
11/9/18,3.58
11/2/18,3.28
10/26/18,3.32
10/19/18,3.26
10/12/18,3.3
10/5/18,3.23
9/28/18,3.06
9/21/18,3.03
9/14/18,2.93
9/7/18,2.94
8/31/18,2.97
8/24/18,3.01
8/17/18,3
8/10/18,2.96
8/3/18,2.8
7/27/18,2.79
7/20/18,2.78
7/13/18,2.89
7/6/18,2.91
6/29/18,2.98
6/22/18,2.99
6/15/18,2.99
6/8/18,2.92
6/1/18,2.88
5/25/18,2.83
5/18/18,2.8
5/11/18,2.76
5/4/18,2.75
4/27/18,2.8
4/20/18,2.83
4/13/18,2.78
4/6/18,2.79
3/30/18,2.67
3/23/18,2.66
3/16/18,2.71
3/9/18,2.74
3/2/18,2.64
2/23/18,2.62
2/16/18,2.54
2/9/18,2.75
2/2/18,3.3
1/26/18,3.43
1/19/18,4.12
1/12/18,3.24
1/5/18,5.71
12/29/17,3.03
12/22/17,2.69
12/15/17,2.77
12/8/17,2.84
12/1/17,2.94
11/24/17,3.05
11/17/17,3.1
11/10/17,3.12
11/3/17,2.78
10/27/17,2.91
10/20/17,2.84
10/13/17,2.92
10/6/17,2.84
9/29/17,2.96
9/22/17,3.09
9/15/17,2.96
9/8/17,2.91
9/1/17,2.93
8/25/17,2.97
8/18/17,2.95
8/11/17,2.85
8/4/17,2.8
7/28/17,2.96
7/21/17,3.09
7/14/17,2.96
7/7/17,2.95
6/30/17,3.01
6/23/17,2.89
6/16/17,3.03
6/9/17,2.98
6/2/17,3.03
5/26/17,3.18
5/19/17,3.21
5/12/17,3.12
5/5/17,3.14
